"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2","NOM_DANS_DHIS2","DISTRICT","REGION",,,
220141019,"CSB2 Anjialava,","Yhh1L1chzVR","CSB2 Anjialava","Sambava","SAVA",,,
220141020,"CSB2 Anjinjaomby","let61UZzj4H","CSB2 Anjinjaomby","Sambava","SAVA",,,
220141021,"CSB2 Antindra","zIKl83kKXZf","CSB2 Antindra","Sambava","SAVA",,,
220141023,"CSB2 Antsahambaro","ZwcmB7OrhzA","CSB1 Antsahambaharo","Sambava","SAVA",,,
220141022,"CSB2 Antsahavaribe","zmaLGUMNidg","CSB2 Antsahavaribe","Sambava","SAVA",,,
220141024,"CSB2 Bemanevika","MYbmiCHRVCB","CSB2 Bemanevika","Sambava","SAVA",,,
220141025,"CSB2 Bevonotro","w8rosYGqP87","CSB2 Bevonotro","Sambava","SAVA",,,
220141027,"CSB2 Farahalana","rAiZFZa9lbI","CSB2 Farahalana","Sambava","SAVA",,,
220151005,"CSB2 Lohanantsahabe","AgedmysUMqO","CSB1 Lohanantsahabe","Sambava","SAVA",,,
220141028,"CSB2 Maroambihy","NCmBm4VY2cW","CSB2 Maroambihy","Sambava","SAVA",,,
220141029,"CSB2 Marogaona","gsKKDcR7Gj5","CSB2 Marogaona","Sambava","SAVA",,,
220141031,"CSB2 Marojala","ybY2Q3DyjtJ","CSB2 Marojala","Sambava","SAVA",,,
220141032,"CSB2 Morafeno","aHy9v59SapG","CSB2 Morafeno","Sambava","SAVA",,,
220141033,"CSB2 Nosiarina","s5FqGpuWzLi","CSB2 Nosiarina","Sambava","SAVA",,,
220141034,"CSB2 Sambava","fWBYJmo6Icg","CSB2 Sambava DU","Sambava","SAVA",,,
220143045,"CSB2 SMC Amboangibe","IL2SYOZzeWF","FSP_SMC Amboangibe","Sambava","SAVA",,,
220143035,"CSB2 SMISA","IuQuc66kLne","FSP_ SMISA Sambava","Sambava","SAVA",,,
220143036,"CSB2 Soavoanio","DRVnQYtsXq3","CSB2 Soavoanio","Sambava","SAVA",,,
220141037,"CSB2 Tanambao Daoud","ZHTJkttTJKp","CSB2 Tanambao Daoud","Sambava","SAVA",,,
220441001,"CSB2 Ambalasatrana","eaebH4589KN","CSB2 Ambalasatrana","Vohimarina","SAVA",,,
220451008,"CSB1 Ambanja","BgQY59WqRrZ","CSB1 Ambanja","Vohimarina","SAVA",,,
220451027,"CSB1 Ambodimanga II","TJAbsowyDnH","CSB1 Ambodimanga II","Vohimarina","SAVA",,,
