cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,210202,210251003,12,21,,,,,,,,,,,,
2015,210402,210451005,5,21,,,,,,,,,,,,
2015,210402,210451005,6,21,,,,,,,,,,,,
2015,210402,210451005,7,21,,,,,,,,,,,,
2015,210402,210451005,8,21,,,,,,,,,,,,
2015,210402,210451005,9,21,,,,,,,,,,,,
2015,210402,210451005,10,21,,,,,,,,,,,,
2015,210402,210451005,11,21,,,,,,,,,,,,
2015,210402,210451005,12,21,,,,,,,,,,,,
2015,210409,210451017,5,21,,,,,,,,,,,,
2015,210409,210451017,6,21,,,,,,,,,,,,
2015,210409,210451017,7,21,,,,,,,,,,,,
2015,210409,210451017,8,21,,,,,,,,,,,,
2015,210409,210451017,9,21,,,,,,,,,,,,
2015,210409,210451017,10,21,,,,,,,,,,,,
2015,210410,210442020,5,21,,,,,,,,,,,,
2015,210410,210442020,6,21,,,,,,,,,,,,
2015,210410,210442020,7,21,,,,,,,,,,,,
2015,210410,210442020,8,21,,,,,,,,,,,,
2015,210410,210442020,9,21,,,,,,,,,,,,
2015,210410,210442020,10,21,,,,,,,,,,,,
2015,210410,210442020,11,21,,,,,,,,,,,,
2015,210410,210442020,12,21,,,,,,,,,,,,
2015,220110,220141016,6,21,,,,,,,,,,,,
2015,220110,220141016,7,21,,,,,,,,,,,,
2015,220110,220141016,8,21,,,,,,,,,,,,
2015,220110,220141016,9,21,,,,,,,,,,,,
2015,220110,220141016,10,21,,,,,,,,,,,,
2015,220110,220141016,11,21,,,,,,,,,,,,
2015,220110,220141016,12,21,,,,,,,,,,,,
2015,220118,220151026,5,21,,,,,,,,,,,,
2015,220118,220151026,6,21,,,,,,,,,,,,
2015,220118,220151026,7,21,,,,,,,,,,,,
2015,220118,220151026,10,21,,,,,,,,,,,,
2015,220206,220241012,2,21,,,,,,,,,,,,
2015,220206,220241012,3,21,,,,,,,,,,,,
2015,220206,220241012,4,21,,,,,,,,,,,,
2015,220206,220241012,5,21,,,,,,,,,,,,
2015,220206,220241012,6,21,,,,,,,,,,,,
2015,220206,220241012,7,21,,,,,,,,,,,,
2015,220206,220241012,8,21,,,,,,,,,,,,
2015,220206,220241012,9,21,,,,,,,,,,,,
2015,220206,220241012,10,21,,,,,,,,,,,,
2015,220206,220241012,11,21,,,,,,,,,,,,
2015,220206,220241012,12,21,,,,,,,,,,,,
2015,220308,220341011,5,21,,,,,,,,,,,,
2015,220308,220341011,6,21,,,,,,,,,,,,
2015,220308,220341011,7,21,,,,,,,,,,,,
